"","time","measurement","lower_bound","upper_bound","period"
"1",1,0,0,0,"calibration"
"2",2,0.00389981034973418,0.00388025184065404,0.00392515946880063,"calibration"
"3",3,0.00409305797285295,0.00396614746717268,0.00425417781676614,"calibration"
"4",4,0.00509849609218536,0.00475949643210132,0.00551266921818849,"calibration"
"5",5,0.00694022840743375,0.00625015417491042,0.00777993125719034,"calibration"
"6",6,0.0098446435097607,0.00857848967336737,0.0113457317986889,"calibration"
"7",7,0.0142336367101199,0.0120370229974214,0.0168166088546889,"calibration"
"8",8,0.0207706251611961,0.0170945226383674,0.0251447962293917,"calibration"
"9",9,0.030453901373213,0.0244018723514884,0.0378286287551662,"calibration"
"10",10,0.0447663165036601,0.0349475983809124,0.0568649111589647,"calibration"
"11",11,0.0659015812411245,0.0501388546397104,0.0857083553485088,"calibration"
"12",12,0.0971014782545008,0.0718517634477159,0.129599336559274,"calibration"
"13",13,0.143154668171982,0.102972889403131,0.196193309697944,"calibration"
"14",14,0.210382251024451,0.147687166572017,0.295204082810288,"calibration"
"15",15,0.305877452349928,0.210286390386728,0.434456086037676,"calibration"
"16",16,0.442542915430804,0.298858724040807,0.637548054167756,"calibration"
"17",17,0.639368396693041,0.423699217603327,0.935146302696155,"calibration"
"18",18,0.912633809496023,0.597727384511985,1.34945439252352,"calibration"
"19",19,1.25457784849106,0.839349448748106,1.82850550254937,"calibration"
"20",20,1.69198281285017,1.1701160180415,2.39546176656281,"calibration"
"21",21,2.26617801808411,1.6298742574439,3.10818055791979,"calibration"
"22",22,3.02770959567466,2.26524900496098,4.01107095309701,"calibration"
"23",23,4.04160672663194,3.1455392354317,5.16594598782091,"calibration"
"24",24,5.39321084331128,4.36589282258702,6.65142050312054,"calibration"
"25",25,7.19518971101595,6.05303313560648,8.59491434114616,"calibration"
"26",26,9.59627851778674,8.37433318644076,11.051527638754,"calibration"
"27",27,12.7921489813575,11.4799091694248,14.2448105198086,"calibration"
"28",28,17.0387396083736,15.6437001888149,18.5556708984927,"calibration"
"29",29,22.0819443277659,20.4025976334734,23.9251194277382,"calibration"
"30",30,26.0651477935272,24.0125935183804,28.2588391396414,"calibration"
"31",31,28.9411421565204,26.6153203043511,31.3830547297518,"calibration"
"32",32,31.0811010101038,28.592919417698,33.667479867097,"calibration"
"33",33,32.7233430494886,30.1479025329314,35.4085233683103,"calibration"
"34",34,34.0201581561287,31.4034727624481,36.7476426029833,"calibration"
"35",35,35.0683034489706,32.4380660202401,37.7848577888094,"calibration"
"36",36,35.9287961239547,33.3241120312336,38.5819496681821,"calibration"
"37",37,36.6397556263263,34.0841450407842,39.2638637934707,"calibration"
"38",38,37.2247035533328,34.7223098897997,39.8153650952175,"calibration"
"39",39,37.6980007485613,35.2206444577614,40.2310318192702,"calibration"
"40",40,38.0682800756518,35.649457583293,40.5110580250629,"calibration"
"41",41,38.3407444226276,35.9899909447543,40.7287616355806,"calibration"
"42",42,38.5186546362728,36.2262849220673,40.8466854986565,"calibration"
"43",43,38.6042816102524,36.3679988697819,40.8898374211926,"calibration"
"44",44,38.5995087734001,36.4301903156721,40.8158965764406,"calibration"
"45",45,38.5062438591326,36.3347218949877,40.6760409835815,"calibration"
"46",46,38.326651603442,36.2031241138852,40.4393609467231,"calibration"
"47",47,38.0632929257396,35.9625011127907,40.1350859430435,"calibration"
"48",48,37.719198785811,35.6450142281462,39.7698551636239,"calibration"
"49",49,37.2978830429893,35.2598971408813,39.3507322803101,"calibration"
"50",50,36.8033213180086,34.7760261922427,38.8492051228239,"calibration"
"51",51,36.2399395956827,34.2178643230324,38.2865606436675,"calibration"
"52",52,35.6125238766018,33.620792811139,37.6382806160989,"calibration"
"53",53,34.9262082905206,32.970208705697,36.9077386866677,"calibration"
"54",54,34.1863610240109,32.2595086208492,36.1534362840055,"calibration"
"55",55,33.3985296474781,31.5006080607634,35.3371230540723,"calibration"
"56",56,32.5683809493968,30.702784051497,34.464441827802,"calibration"
"57",57,31.7015869083611,29.8626134593848,33.5807156906905,"calibration"
"58",58,30.8037852537731,29.0007823749964,32.6732110385384,"calibration"
"59",59,29.8805269892998,28.0980901878303,31.7310002738526,"calibration"
"60",60,28.9372149539802,27.1862877707461,30.7321655040393,"calibration"
"61",61,27.9790510067041,26.2576466231354,29.7107408738779,"calibration"
"62",62,27.0109972577106,25.316250960072,28.6927976588098,"calibration"
"63",63,26.037741667753,24.3820671622493,27.6643121705755,"calibration"
"64",64,25.0636713742265,23.4492370216928,26.6448237107303,"calibration"
"65",65,24.0928545064515,22.5288008599704,25.6432661023165,"calibration"
"66",66,23.1290237629723,21.6124100741003,24.6267762212983,"calibration"
"67",67,22.1755750113053,20.7155363905178,23.6408549596306,"calibration"
"68",68,21.2355608417005,19.8183129314798,22.6726662940268,"calibration"
"69",69,20.3116953225549,18.9411056229421,21.7131777243061,"calibration"
"70",70,19.4063606584917,18.0845738869494,20.7573018785279,"calibration"
"71",71,18.5216156432469,17.2588180881664,19.8208674061288,"calibration"
"72",72,17.6592107473873,16.4424294673523,18.9174120795116,"calibration"
"73",73,16.8206089244142,15.642679154372,18.0265950473847,"calibration"
"74",74,16.0069989549397,14.8747067375155,17.1756947029056,"calibration"
"75",75,15.2193125079503,14.1274750252772,16.3408073683331,"calibration"
"76",76,14.4582447590303,13.4142529046739,15.5293232572246,"calibration"
"77",77,13.7242754928405,12.722929953732,14.7601452671967,"calibration"
"78",78,13.0176886199043,12.0531939652926,14.0261914170873,"calibration"
"79",79,12.338590992398,11.4216498814191,13.3141552498803,"calibration"
