Time,Date_reported,New_cases,Cumulative_cases,Newdeaths,Cumulativedeaths
1,02/03/2020,1,1,0,0
2,03/03/2020,,1,0,0
3,04/03/2020,,1,1,1
4,05/03/2020,1,2,0,1
5,06/03/2020,4,6,0,1
6,07/03/2020,7,13,0,1
7,08/03/2020,5,18,0,1
8,09/03/2020,1,19,0,1
9,10/03/2020,2,21,0,1
10,11/03/2020,3,24,0,1
11,12/03/2020,10,34,0,1
12,13/03/2020,9,43,0,1
13,14/03/2020,27,70,1,2
14,15/03/2020,20,90,0,2
15,16/03/2020,39,129,0,2
16,17/03/2020,40,169,1,3
17,18/03/2020,54,223,0,3
18,19/03/2020,69,292,0,3
19,20/03/2020,74,366,0,3
20,21/03/2020,191,557,1,4
21,22/03/2020,126,683,1,5
22,23/03/2020,102,785,3,8
23,24/03/2020,121,906,5,13
24,25/03/2020,219,1125,2,15
25,26/03/2020,204,1329,7,22
26,27/03/2020,235,1564,8,30
27,28/03/2020,255,1819,9,39
28,29/03/2020,302,2121,15,54
29,30/03/2020,294,2415,4,58
30,31/03/2020,210,2625,14,72
31,01/04/2020,285,2910,21,93
32,02/04/2020,325,3235,16,109
33,03/04/2020,212,3447,20,129
34,04/04/2020,402,3849,22,151
35,05/04/2020,424,4273,24,175
36,06/04/2020,331,4604,36,211
37,07/04/2020,390,4994,42,253
38,08/04/2020,865,5859,36,289
39,09/04/2020,365,6224,34,323
40,10/04/2020,464,6688,51,374
41,11/04/2020,705,7393,34,408
42,12/04/2020,696,8089,46,454
43,13/04/2020,839,8928,48,502
44,14/04/2020,727,9655,46,548
45,15/04/2020,992,10647,57,605
46,16/04/2020,831,11478,47,652
47,17/04/2020,1069,12547,50,702
48,18/04/2020,724,13271,51,753
49,19/04/2020,709,13980,43,796
50,20/04/2020,778,14758,54,850
51,21/04/2020,493,15251,45,895
52,22/04/2020,401,15652,39,934
53,23/04/2020,388,16040,39,973
54,24/04/2020,631,16671,44,1017
55,25/04/2020,936,17607,35,1052
56,26/04/2020,577,18184,34,1086
57,27/04/2020,377,18561,48,1134
58,28/04/2020,701,19262,18,1152
59,29/04/2020,386,19648,39,1191
60,30/04/2020,229,19877,21,1212
61,01/05/2020,376,20253,19,1231
62,02/05/2020,359,20612,28,1259
63,03/05/2020,221,20833,28,1287
64,04/05/2020,343,21176,24,1311
65,05/05/2020,330,21506,27,1338
66,06/05/2020,266,21772,25,1363
67,07/05/2020,211,21983,18,1381
68,08/05/2020,265,22248,24,1405
69,09/05/2020,137,22385,29,1434
70,10/05/2020,156,22541,18,1452
71,11/05/2020,219,22760,18,1470
72,12/05/2020,236,22996,14,1484
73,13/05/2020,139,23135,11,1495
74,14/05/2020,107,23242,12,1507
75,15/05/2020,159,23401,6,1513
76,16/05/2020,426,23827,15,1528
77,17/05/2020,129,23956,7,1535
78,18/05/2020,92,24048,14,1549
79,19/05/2020,64,24112,8,1557
80,20/05/2020,88,24200,12,1569
81,21/05/2020,51,24251,9,1578
82,22/05/2020,64,24315,8,1586
83,23/05/2020,76,24391,5,1591
84,24/05/2020,115,24506,5,1596
85,25/05/2020,76,24582,3,1599
86,26/05/2020,57,24639,6,1605
87,27/05/2020,59,24698,5,1610
88,28/05/2020,37,24735,8,1618
89,29/05/2020,68,24803,6,1624
90,30/05/2020,38,24841,4,1628
91,31/05/2020,35,24876,7,1635
92,01/06/2020,53,24929,5,1640
93,02/06/2020,61,24990,5,1645
94,03/06/2020,72,25062,4,1649
95,04/06/2020,4,25066,2,1651
96,05/06/2020,45,25111,2,1653
97,06/06/2020,31,25142,5,1658
98,07/06/2020,21,25163,4,1662
99,08/06/2020,20,25183,3,1665
100,09/06/2020,18,25201,4,1669
101,10/06/2020,6,25207,5,1674
102,11/06/2020,8,25215,3,1677
103,12/06/2020,16,25231,2,1679
104,13/06/2020,7,25238,4,1683
105,14/06/2020,12,25250,2,1685
106,15/06/2020,45,25295,2,1687
107,16/06/2020,8,25303,1,1688
108,17/06/2020,18,25321,2,1690
109,18/06/2020,13,25334,2,1692
110,19/06/2020,7,25341,2,1694
111,20/06/2020,14,25355,3,1697
112,21/06/2020,13,25368,2,1699
113,22/06/2020,6,25374,0,1699
114,23/06/2020,5,25379,0,1699
115,24/06/2020,4,25383,2,1701
116,25/06/2020,8,25391,6,1707
117,26/06/2020,5,25396,1,1708
118,27/06/2020,9,25405,1,1709
119,28/06/2020,9,25414,2,1711
120,29/06/2020,23,25437,1,1712
121,30/06/2020,2,25439,1,1713
122,01/07/2020,23,25462,1,1714
123,02/07/2020,11,25473,2,1716
124,03/07/2020,4,25477,0,1716
125,04/07/2020,12,25489,0,1716
126,05/07/2020,9,25498,3,1719
127,06/07/2020,11,25509,1,1720
128,07/07/2020,18,25527,0,1720
129,08/07/2020,4,25531,1,1721
130,09/07/2020,7,25538,0,1721
131,10/07/2020,4,25542,2,1723
132,11/07/2020,23,25565,0,1723
133,12/07/2020,24,25589,0,1723
134,13/07/2020,22,25611,0,1723
135,14/07/2020,17,25628,0,1723
136,15/07/2020,10,25638,1,1724
